pair,symbol_a,symbol_b,sector
ADI-IBM,ADI,IBM,
AIG-BRO,AIG,BRO,
AIG-FISV,AIG,FISV,
AIG-IVZ,AIG,IVZ,
AIG-L,AIG,L,
ALL-MET,ALL,MET,
ALLE-AOS,ALLE,AOS,
AME-EME,AME,EME,
AME-LHX,AME,LHX,
AOS-ETN,AOS,ETN,
APD-CRH,APD,CRH,
APH-FLEX,APH,FLEX,
AVB-ESS,AVB,ESS,
BAC-BNY,BAC,BNY,
BDX-BSX,BDX,BSX,
BRO-L,BRO,L,
C-GS,C,GS,
C-HIG,C,HIG,
C-JPM,C,JPM,
C-MET,C,MET,
C-PRU,C,PRU,
CFG-PRU,CFG,PRU,
CMS-ES,CMS,ES,
CMS-PCG,CMS,PCG,
CMS-XEL,CMS,XEL,
COF-MET,COF,MET,
CPT-EQR,CPT,EQR,
DE-HON,DE,HON,
DOV-ETN,DOV,ETN,
DOV-ROK,DOV,ROK,
DOV-TDG,DOV,TDG,
DTE-EIX,DTE,EIX,
DTE-ES,DTE,ES,
DUK-ED,DUK,ED,
EG-L,EG,L,
EMR-ETN,EMR,ETN,
ES-PNW,ES,PNW,
ESS-UDR,ESS,UDR,
EXPD-UPS,EXPD,UPS,
FDX-MAS,FDX,MAS,
FITB-PRU,FITB,PRU,
FRT-SPG,FRT,SPG,
GE-WAB,GE,WAB,
HBAN-PFG,HBAN,PFG,
HBAN-SCHW,HBAN,SCHW,
HON-JBHT,HON,JBHT,
HON-RTX,HON,RTX,
HUBB-SWK,HUBB,SWK,
J-PCAR,J,PCAR,
JBHT-JCI,JBHT,JCI,
JCI-PNR,JCI,PNR,
JCI-WAB,JCI,WAB,
KEY-SCHW,KEY,SCHW,
KIM-REG,KIM,REG,
L-PGR,L,PGR,
L-PNC,L,PNC,
L-TRV,L,TRV,
L-WFC,L,WFC,
LIN-PPG,LIN,PPG,
MKC-SYY,MKC,SYY,
MMM-WM,MMM,WM,
MSCI-SCHW,MSCI,SCHW,
MTB-RJF,MTB,RJF,
NI-SRE,NI,SRE,
NOC-PNR,NOC,PNR,
NTRS-PRU,NTRS,PRU,
NTRS-RJF,NTRS,RJF,
NUE-STLD,NUE,STLD,
NVDA-TER,NVDA,TER,
O-VTR,O,VTR,
PEG-SO,PEG,SO,
PH-UPS,PH,UPS,
RJF-TFC,RJF,TFC,
TDY-TER,TDY,TER,
TXT-WAB,TXT,WAB,
